,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det) MSE (ml),
74,stego_10064.png,0.230812438,0.274985445,0.204307243,0.236701709,0.035705247,0.049909763,0.196604426,0.001347015,1.15E-05
75,stego_10065.png,0.28858431,0.288482917,0.310289516,0.295785581,0.012560879,0.197610916,0.122352942,0.009174878,0.006029066
76,stego_10066.png,0.275725845,0.277225236,0.296189657,0.283046913,0.011406614,0.040297254,0.252942549,0.00689679,0.002802913
77,stego_10067.png,0.168193099,0.165266694,0.171724634,0.168394809,0.003233692,0.082008111,0.094103989,0.000998888,0.011213965
78,stego_10068.png,0.205654507,0.20488508,0.162813359,0.191117649,0.024515253,0.112900168,0.088172129,7.89E-05,0.012505473
79,stego_10069.png,0.286619537,0.275680295,0.280622489,0.280974107,0.005478091,0.043166047,0.248536394,0.006556806,0.002355781
80,stego_1007.png,0.340369774,0.390188375,0.385228802,0.371928984,0.027443344,0.031011505,0.351828201,0.029559575,0.023051803
81,stego_10070.png,0.198172622,0.192267058,0.192379485,0.194273055,0.003377592,0.013045874,0.1836227,3.28E-05,0.000268216
82,stego_10071.png,0.267840744,0.266582356,0.278260453,0.270894518,0.006410042,0.00979543,0.263681966,0.005026033,0.004055393
83,stego_10072.png,0.176797321,0.17460972,0.203416256,0.184941099,0.016037299,0.01926058,0.168934292,0.00022677,0.000965078
84,stego_10073.png,0.159993308,0.147661695,0.139886821,0.149180608,0.010138936,0.006698809,0.143442694,0.002582611,0.003198729
85,stego_10074.png,0.231665282,0.199429345,0.20317347,0.211422699,0.017630265,0.056823369,0.163913444,0.000130478,0.00130224
86,stego_10075.png,0.182080752,0.197456912,0.183650931,0.187729532,0.008460663,0.008459267,0.180799697,0.000150564,0.000368652
87,stego_10076.png,0.091232603,0.105108108,0.1310141,0.10911827,0.020191655,0.007755959,0.102154618,0.008259489,0.009573719
88,stego_10077.png,0.3559288,0.324037117,0.37128552,0.350417146,0.02410159,0.098474949,0.279462225,0.022625318,0.006314245
89,stego_10078.png,0.112443407,0.1096566,0.107323445,0.109807817,0.002563329,0.007522655,0.103060451,0.00813463,0.009397276
90,stego_10079.png,0.275731057,0.252614122,0.272719711,0.26702163,0.012567787,0.068097504,0.213460235,0.004491899,0.000181178
91,stego_1008.png,0.297827232,0.314994639,0.303652988,0.30549162,0.008730142,0.071241159,0.252218822,0.011128482,0.002726805
92,stego_10080.png,0.295806476,0.264742563,0.354027038,0.304858692,0.045325339,0.18384485,0.148273086,0.010995345,0.002675674
93,stego_10081.png,0.262155797,0.272537566,0.360395684,0.298363016,0.053972069,0.091667857,0.227554602,0.009675283,0.000759256
94,stego_10082.png,0.422842001,0.318801869,0.381323802,0.374322558,0.052372229,0.077880168,0.321479247,0.030388354,0.014757208
95,stego_10083.png,0.186258812,0.199141754,0.198054144,0.194484903,0.00714473,0.037846097,0.162800157,3.04E-05,0.001383828
96,stego_10084.png,0.187347476,0.227035565,0.209697259,0.208026766,0.019896708,0.052812935,0.163868192,6.44E-05,0.001305508
97,stego_10085.png,0.24299766,0.173584135,0.252461331,0.223014375,0.04306857,0.040619404,0.190117428,0.000529661,9.77E-05
98,stego_10086.png,0.250377292,0.278291584,0.262289826,0.2636529,0.014006977,0.020329729,0.248372517,0.004051692,0.0023399
99,stego_10087.png,0.127375122,0.14673672,0.135940369,0.13668407,0.0097022,0.005455692,0.131948247,0.004008907,0.004631041
100,stego_10088.png,0.192335577,0.249169268,0.19975523,0.213753358,0.030894624,0.029792289,0.189609985,0.000189155,0.000107952
101,stego_10089.png,0.215283645,0.254661769,0.209606261,0.226517225,0.024538637,0.101694179,0.138953843,0.000703163,0.003726633
102,stego_1009.png,0.165184416,0.165703363,0.219630873,0.183506217,0.031285945,0.068387884,0.123568952,0.000272045,0.005841705
103,stego_10090.png,0.198988057,0.255106198,0.218085501,0.224059919,0.028532117,0.066391949,0.168880259,0.00057888,0.000968438
104,stego_10091.png,0.211405524,0.227100571,0.255686167,0.231397421,0.022450858,0.042908829,0.196939014,0.000985798,9.37E-06
105,stego_10092.png,0.143598768,0.125366921,0.12780876,0.13225815,0.009896861,0.022465869,0.112315547,0.004588958,0.007688563
106,stego_10093.png,0.119076346,0.154558237,0.145138676,0.139591086,0.018379961,0.034286118,0.109043652,0.003649237,0.008273057
107,stego_10094.png,0.16260765,0.166339746,0.153809896,0.160919097,0.006433327,0.030215136,0.134776244,0.001527317,0.004254138
108,stego_10095.png,0.224925283,0.215287813,0.29347552,0.244562872,0.042632799,0.090632301,0.16927209,0.00198585,0.000944204
