index,image_name,Red,Green,Blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
6187,stego_15567.png,0.109757201,0.170576321,0.174128529,0.15148735,0.08724753,0.07038033,0.002353477,0.016801259,0.036182987
6188,stego_15568.png,0.196634954,0.192481054,0.184679816,0.191265275,0.055396756,0.1438366,7.63E-05,0.003154327,0.00606959
6189,stego_15569.png,0.181932925,0.154457501,0.214595097,0.183661841,0.027538259,0.160544704,0.000266935,0.00155672,0.030106054
6190,stego_1557.png,0.200921291,0.255594706,0.190796066,0.215770688,0.066425087,0.159971738,0.000248715,0.001602262,0.034858204
6191,stego_15570.png,0.133826033,0.163202127,0.172452615,0.156493591,0.041124595,0.120316983,0.001892808,0.006349383,0.020168206
6192,stego_15571.png,0.146203501,0.037131667,0.130977298,0.104770822,0.073147774,0.034118759,0.009068596,0.027516586,0.05906988
6193,stego_15572.png,0.184915388,0.219156438,0.161009749,0.188360525,0.095434266,0.102730244,0.000135477,0.009461405,0.029226034
6194,stego_15573.png,0.208916496,0.160358174,0.273062546,0.214112405,0.030379749,0.189489293,0.00019916,0.000110475,0.056531557
6195,stego_15574.png,0.156015265,0.14732222,0.168532199,0.157289895,0.036212799,0.125626379,0.001824153,0.005531436,0.010662285
6196,stego_15575.png,0.374491609,0.293748723,0.374367711,0.347536014,0.020504665,0.333877393,0.021766875,0.017923156,0.046581202
6197,stego_15576.png,0.130405083,0.141426928,0.132887499,0.134906504,0.018062544,0.118993281,0.004237163,0.006562088,0.005781656
6198,stego_15577.png,0.160861173,0.177617428,0.136384281,0.158287627,0.024905765,0.136788689,0.001739922,0.00399567,0.020736693
6199,stego_15578.png,0.454853681,0.390854447,0.396257521,0.41398855,0.027323392,0.397526942,0.0457911,0.039016893,0.035493204
6200,stego_15579.png,0.180333448,0.22896489,0.17307425,0.194124196,0.034993381,0.164901268,3.45E-05,0.001231921,0.03039045
6201,stego_1558.png,0.250986581,0.244216955,0.265184525,0.253462687,0.037036935,0.224749796,0.002858259,0.000612552,0.010700845
6202,stego_15580.png,0.180593209,0.212550596,0.14419289,0.179112231,0.031854146,0.152103203,0.000436299,0.002294103,0.034202909
6203,stego_15581.png,0.248888678,0.285927328,0.024066786,0.186294264,0.129051428,0.065724703,0.000187847,0.018029855,0.141708438
6204,stego_15582.png,0.295708937,0.216442598,0.29525385,0.269135128,0.048660946,0.231751426,0.004779666,0.001008153,0.045633637
6205,stego_15583.png,0.167946527,0.124629804,0.139155069,0.143910467,0.013915902,0.131829086,0.003146036,0.004647274,0.022046428
6206,stego_15584.png,0.217180343,0.207135541,0.223222269,0.215846051,0.057691038,0.167837747,0.000251097,0.001034411,0.008125943
6207,stego_15585.png,0.236355887,0.219053376,0.193174179,0.216194481,0.056571832,0.169194279,0.000262261,0.000948992,0.021732348
6208,stego_15586.png,0.194532908,0.424919542,0.12677064,0.24874103,0.184880739,0.078344721,0.002375688,0.014800007,0.156291658
6209,stego_15587.png,0.134328358,0.163341788,0.087506196,0.128392114,0.016940259,0.113372413,0.005127689,0.007504339,0.038264716
6210,stego_15588.png,0.090999683,0.12014907,0.14098182,0.117376858,0.034369272,0.085962039,0.006826584,0.013004657,0.025106122
6211,stego_15589.png,0.201615152,0.193995477,0.195275619,0.196962083,0.009117669,0.189572877,9.23E-06,0.000108725,0.004080194
6212,stego_1559.png,0.070994669,0.190182158,0.275100946,0.178759257,0.181840689,-0.003766298,0.000451169,0.041520704,0.102531483
6213,stego_15590.png,0.067557254,0.205354633,0.156287824,0.14306657,0.069844857,0.078719893,0.003241415,0.014708864,0.069843615
6214,stego_15591.png,0.16993796,0.163729774,0.182912681,0.172193472,0.01964196,0.155607957,0.000773203,0.001970653,0.009788334
6215,stego_15592.png,0.263750599,0.141523901,0.231930397,0.212401633,0.041822289,0.178024746,0.000153801,0.000482912,0.063410338
6216,stego_15593.png,0.127756269,0.15304266,0.179277466,0.153358798,0.051914177,0.106999407,0.002175402,0.00864911,0.025762053
6217,stego_15594.png,0.1404724,0.066293744,0.076830571,0.094532238,0.061456415,0.035241648,0.011123449,0.027145314,0.040132655
6218,stego_15595.png,0.275220691,0.275238319,0.193194053,0.247884354,0.035762484,0.219989231,0.002292911,0.000399569,0.047363191
6219,stego_15596.png,0.235297027,0.262701736,0.212928618,0.236975794,0.049074052,0.197598711,0.001367209,5.77E-06,0.024928989
6220,stego_15597.png,0.068989978,0.157226008,0.133427015,0.119881,0.061947535,0.061759301,0.006419054,0.019110491,0.045651069
6221,stego_15598.png,0.246945298,0.257458642,0.228804772,0.244402904,0.035749475,0.21638923,0.001971618,0.000268607,0.014495133
6222,stego_15599.png,0.243483232,0.175231361,0.232776487,0.217163693,0.025613694,0.196585274,0.000294592,1.17E-05,0.036706934
6223,stego_156.png,0.03257743,0.338675225,0.057529375,0.142927343,0.146953426,-0.004719652,0.003257288,0.041910136,0.169981101
6224,stego_1560.png,0.168203913,0.159641984,0.070928693,0.132924863,0.021463236,0.113906428,0.004499074,0.007412103,0.053860658
6225,stego_15600.png,0.297851287,0.237661188,0.35304412,0.296185532,0.051203305,0.258203078,0.009251657,0.003387598,0.057709499
6226,stego_15601.png,0.303843472,0.373304027,0.284527126,0.320558208,0.318478826,0.003051089,0.014534282,0.038788873,0.046689092
6227,stego_15602.png,0.191502179,0.231152185,0.238826993,0.220493786,0.02589386,0.199772815,0.000419995,5.16E-08,0.025399028
6228,stego_15603.png,0.166366461,0.148205193,0.168968918,0.161180191,0.016192737,0.14737384,0.001506978,0.002769513,0.011311769
6229,stego_15604.png,0.293175063,0.339390639,0.298899123,0.310488275,0.058291586,0.26780762,0.012207659,0.004597873,0.025193277
6230,stego_15605.png,0.154245343,0.133317436,0.165858914,0.151140564,0.016046257,0.137297417,0.002387244,0.003931614,0.016491412
6231,stego_15606.png,0.112849695,0.05448053,0.100081881,0.089137369,0.040943141,0.05025169,0.012290523,0.022424556,0.03068512
6232,stego_15607.png,0.073491659,0.121881563,0.106156421,0.100509881,0.015334384,0.086501951,0.009898284,0.012881807,0.02468417
6233,stego_15608.png,0.280335207,0.263755482,0.297793172,0.280627954,0.155916432,0.147747838,0.006500867,0.002730288,0.017020733
6234,stego_15609.png,0.187742789,0.071497505,0.203356879,0.154199058,0.03808507,0.120711286,0.002097726,0.0062867,0.072045889
6235,stego_1561.png,0.1777962,0.163649957,0.189063751,0.176836636,0.045713668,0.137404219,0.000536541,0.003918232,0.012734041
6236,stego_15610.png,0.160399703,0.025102776,0.175277235,0.120259905,0.04126267,0.082397162,0.006358483,0.013830428,0.082743547
6237,stego_15611.png,0.249572937,0.224852404,0.211087974,0.228504438,0.042596225,0.194179528,0.000812503,3.39E-05,0.019500669
6238,stego_15612.png,0.263466053,0.2142514,0.211421691,0.229713048,0.046225101,0.192380767,0.000882865,5.81E-05,0.029265181
6239,stego_15613.png,0.131806761,0.170173251,0.164081145,0.155353719,0.083041975,0.078860473,0.00199329,0.014674785,0.020618508
6240,stego_15614.png,0.260582963,0.213109656,0.205770441,0.226487687,0.051898288,0.184146275,0.000701598,0.000251341,0.029754528
6241,stego_15615.png,0.12249138,0.077299196,0.113299845,0.104363474,0.027201153,0.079319914,0.009146345,0.014563683,0.023884669
6242,stego_15616.png,0.337328343,0.050693887,0.144932788,0.177651673,0.152861155,0.029263819,0.000499448,0.029150843,0.146091485
6243,stego_15617.png,0.07397101,0.159582089,0.096778863,0.110110654,0.022569559,0.089562481,0.008080095,0.012196446,0.044335276
6244,stego_15618.png,0.302652568,0.333545666,0.302977865,0.3130587,0.148975,0.192807144,0.01278227,5.17E-05,0.017742979
6245,stego_15619.png,0.244346867,0.295224719,0.272435948,0.270669178,0.150457217,0.141501951,0.004994133,0.003422022,0.025484899
6246,stego_1562.png,0.20621365,0.192405769,0.159373836,0.185997752,0.036114035,0.155499429,0.000196063,0.001980301,0.024068425
6247,stego_15620.png,0.323510751,0.139406848,0.09662016,0.186512587,0.125162424,0.07012749,0.00018191,0.016866869,0.12055724
6248,stego_15621.png,0.191989636,0.146191768,0.082210779,0.140130728,0.034947469,0.108992263,0.00358433,0.008282408,0.055139836
6249,stego_15622.png,0.272233221,0.193113669,0.206008916,0.223785269,0.06118059,0.173201233,0.000565739,0.000718174,0.042449675
6250,stego_15623.png,0.184620955,0.214979145,0.181547807,0.193715969,0.010003974,0.185568417,3.95E-05,0.000208271,0.018478448
6251,stego_15624.png,0.216110632,0.223210878,0.23679329,0.2253716,0.034166672,0.197968865,0.000643718,4.13E-06,0.010509264
6252,stego_15625.png,0.152817384,0.207564076,0.138103037,0.166161499,0.051358675,0.121018156,0.001145044,0.006238132,0.036602705
6253,stego_15626.png,0.276176172,0.289074936,0.381060506,0.315437205,0.081969929,0.254313321,0.013325748,0.002949937,0.057196222
6254,stego_15627.png,0.059067421,0.175029964,0.112498562,0.115531982,0.064378392,0.054673374,0.007134846,0.021119828,0.058040754
6255,stego_15628.png,0.281365994,0.36289306,0.315860273,0.320039776,0.149126843,0.200867699,0.014409548,7.53E-07,0.040923915
6256,stego_15629.png,0.021825922,0.117185668,0.111132343,0.083381311,0.023237967,0.061574203,0.013599919,0.019161701,0.053394383
6257,stego_1563.png,0.219795541,0.068499682,0.175279351,0.154524858,0.048298004,0.111617769,0.002067989,0.007811419,0.077753913
6258,stego_15630.png,0.137499387,0.121904093,0.167501355,0.142301612,0.038977756,0.107514531,0.003329104,0.008553562,0.023174848
6259,stego_15631.png,0.120860066,0.235941821,0.145591982,0.167464623,0.041804382,0.131142575,0.001058551,0.004741345,0.06057856
6260,stego_15632.png,0.354529024,0.342873748,0.375160325,0.357521032,0.080878647,0.300985701,0.024812876,0.010198112,0.016349919
6261,stego_15633.png,0.268861701,0.252251467,0.230201733,0.2504383,0.019079911,0.235858549,0.002544022,0.001285836,0.019393658
6262,stego_15634.png,0.121261997,0.125723807,0.134357373,0.127114392,0.008181841,0.119913666,0.005312312,0.006413821,0.006657516
6263,stego_15635.png,0.323581366,0.069459926,0.517512642,0.303517978,0.248506849,0.073202436,0.010715972,0.016077622,0.224699163
6264,stego_15636.png,0.299263986,0.260818717,0.22795585,0.262679518,0.033994851,0.236732348,0.003928722,0.001349265,0.035690468
6265,stego_15637.png,0.160967371,0.183068084,0.115178808,0.153071421,0.046807676,0.111481956,0.002202292,0.007835444,0.03462655
6266,stego_15638.png,0.26001485,0.156738017,0.272286776,0.229679881,0.0572908,0.182865597,0.000880895,0.000293588,0.063466816
6267,stego_15639.png,0.205492247,0.070550011,0.195162241,0.157068166,0.081551265,0.082222228,0.001843142,0.013871604,0.075104731
