,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
70,stego_10060.png,0.173749097,0.160105744,0.146399062,0.160084634,0.037208642,0.127624735,0.003610163,0.000763126,0.01367503
71,stego_10061.png,0.167774333,0.066161797,0.111651052,0.115195728,0.074446589,0.044026783,0.00023091,0.003133001,0.050898923
72,stego_10062.png,0.08865226,0.054756996,0.139380506,0.094263254,0.047123077,0.049471423,3.29E-05,0.002553137,0.04258987
73,stego_10063.png,0.08915933,0.085564785,0.044221715,0.072981943,0.027812748,0.046461415,0.000729975,0.00286638,0.024971849
74,stego_10064.png,0.065221523,0.138122738,0.188340415,0.130561559,0.041486846,0.092930089,0.000934009,5.00E-05,0.061906736
75,stego_10065.png,0.25295125,0.168546256,0.243569884,0.22168913,0.215482342,0.007911598,0.014808244,0.008480274,0.046261499
76,stego_10066.png,0.190067801,0.157797669,0.170571166,0.172812212,0.039963328,0.138378968,0.005301618,0.001472945,0.016251371
77,stego_10067.png,0.131729653,0.120880397,0.117096181,0.12323541,0.073283115,0.053902433,0.000539884,0.002124986,0.007595669
78,stego_10068.png,0.140200055,0.157184843,0.172464269,0.156616389,0.109639285,0.052761879,0.003205416,0.00223144,0.016139617
79,stego_10069.png,0.136869708,0.111787198,0.152306398,0.133654435,0.036288675,0.10103208,0.001132621,1.07E-06,0.020450058
80,stego_1007.png,0.210324473,0.136919072,0.182443903,0.176562483,0.028790948,0.152152139,0.005861814,0.002719846,0.03705444
81,stego_10070.png,0.081036788,0.091297092,0.09910474,0.09047954,0.009847344,0.081434106,9.06E-05,0.000344692,0.009061678
82,stego_10071.png,0.109524254,0.165843617,0.13616932,0.137179064,0.010335823,0.128167962,0.001382283,0.000793434,0.028173256
83,stego_10072.png,0.120435086,0.098189602,0.121394049,0.113339579,0.019781703,0.09544596,0.000177944,2.07E-05,0.013129023
84,stego_10073.png,0.058295674,0.068318979,0.070629314,0.065747989,0.015030849,0.051491095,0.0011732,0.002353114,0.006556459
85,stego_10074.png,0.08590673,0.000979454,0.202285378,0.096390521,0.063390856,0.035233123,1.30E-05,0.004194748,0.101061621
86,stego_10075.png,0.10412425,0.106363477,0.079040875,0.096509534,0.014451472,0.08326131,1.22E-05,0.000280184,0.015169676
87,stego_10076.png,0.215971622,0.13645492,0.067807568,0.140078037,0.046840004,0.097819918,0.001606249,4.75E-06,0.074148445
88,stego_10077.png,0.216508562,0.282016307,0.165722967,0.221415945,0.051808468,0.178874701,0.014741832,0.006221218,0.058301776
89,stego_10078.png,0.052851983,0.056538523,0.065846077,0.058412195,0.014706797,0.044357759,0.001729546,0.003096059,0.006696611
90,stego_10079.png,0.229266777,0.176600573,0.187614361,0.197827237,0.065594762,0.141515126,0.009570168,0.001723506,0.027778758
91,stego_1008.png,0.186077917,0.183656169,0.174607482,0.181447189,0.045247156,0.142654755,0.006633645,0.001819428,0.006045859
92,stego_10080.png,0.301227587,0.270927971,0.188548144,0.253567901,0.188122698,0.080609721,0.0235831,0.000375983,0.058311176
